DocType: Training Event Employee,Training Event Employee,ስልጠና ክስተት ሰራተኛ
DocType: Batch,Batch,ባች
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py +375,All items have already been invoiced,ሁሉም ንጥሎች ቀደም ሲል ደረሰኝ ተደርጓል
DocType: Offer Letter Term,Offer Letter Term,ደብዳቤ የሚቆይበት ጊዜ ሊያቀርብ
apps/erpnext/erpnext/schools/doctype/academic_term/academic_term.py +38,An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,ይህ &#39;የትምህርት ዓመት&#39; ጋር አንድ የትምህርት ቃል {0} እና &#39;ተርም ስም «{1} አስቀድሞ አለ. እነዚህ ግቤቶችን ይቀይሩ እና እንደገና ይሞክሩ.
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py +235,Closing (Dr),የመመዝገቢያ ጊዜ (ዶክተር)
apps/erpnext/erpnext/accounts/doctype/account/account.js +56,Ledger,የሒሳብ መዝገብ
DocType: Employee,AB-,A ሳዛኝ
DocType: Employee,Salutation,ሰላምታ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py +148,Please select item code,ንጥል ኮድ ይምረጡ
DocType: Shipping Rule Condition,From Value,እሴት ከ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +247,Same item has been entered multiple times.,ብዙ ጊዜ ተመሳሳይ ንጥል ገብቶ ነበር.
DocType: Announcement,Instructor,አሠልታኝ
DocType: Upload Attendance,Get Template,አብነት ያግኙ
DocType: Company,Fixed Asset Depreciation Settings,የተወሰነ የንብረት ዋጋ መቀነስ ቅንብሮች
DocType: Selling Settings,Allow multiple Sales Orders against a Customer's Purchase Order,አንድ የደንበኛ የግዢ ትዕዛዝ ላይ በርካታ የሽያጭ ትዕዛዞች ፍቀድ
apps/erpnext/erpnext/config/schools.py +148,LMS,ኤልኤምኤስ
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py +94,Clearance Date updated,መልቀቂያ ቀን ዘምኗል
apps/erpnext/erpnext/public/js/setup_wizard.js +238,List a few of your customers. They could be organizations or individuals.,የእርስዎ ደንበኞች መካከል ጥቂቶቹን ዘርዝር. እነዚህ ድርጅቶች ወይም ግለሰቦች ሊሆን ይችላል.
DocType: Stock Entry,From BOM,BOM ከ
apps/erpnext/erpnext/setup/doctype/company/company.py +65,"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","ነባር ግብይቶች አሉ ምክንያቱም, ኩባንያ ነባሪ ምንዛሬ መለወጥ አይቻልም. ግብይቶች ነባሪውን ምንዛሬ ለመቀየር ተሰርዟል አለበት."
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +576,Get items from,ከ ንጥሎችን ያግኙ
DocType: C-Form,Invoices,ደረሰኞች
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py +115,Please set default account in Expense Claim Type {0},የወጪ የይገባኛል ጥያቄ አይነት ውስጥ ነባሪ መለያ ማዘጋጀት እባክዎ {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py +222,Purchase Receipt {0} is not submitted,የግዢ ደረሰኝ {0} ማቅረብ አይደለም
apps/erpnext/erpnext/stock/get_item_details.py +261,Item Price added for {0} in Price List {1},ንጥል ዋጋ ለ ታክሏል {0} የዋጋ ዝርዝር ውስጥ {1}
,Purchase Analytics,የግዢ ትንታኔ
DocType: BOM Operation,Workstation,ከገቢር
DocType: Payment Entry,Type of Payment,የክፍያው አይነት
apps/erpnext/erpnext/controllers/website_list_for_contact.py +90,{0}% Delivered,{0}% ደርሷል
apps/erpnext/erpnext/selling/report/customer_credit_balance/customer_credit_balance.py +39,Outstanding Amt,ያልተከፈሉ Amt
DocType: Journal Entry,Difference (Dr - Cr),ልዩነት (ዶክተር - CR)
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html +7,Get Updates,ዝማኔዎች አግኝ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +222,Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),ረድፍ {0}: ለ ብዛት አይገኝም {4} መጋዘን ውስጥ {1} መግቢያ ጊዜ መለጠፍ (በ {2} {3})
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +113,Salary Slip Created,የቀጣሪ ተፈጥሯል
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +149,Please cancel Purchase Invoice {0} first,በመጀመሪያ የግዢ ደረሰኝ {0} ይቅር እባክዎ
DocType: Employee,Married,ያገባ
DocType: Purchase Taxes and Charges,Item Wise Tax Detail,ንጥል ጥበበኛ የግብር ዝርዝር
DocType: Salary Slip,Total Working Hours,ጠቅላላ የሥራ ሰዓቶች
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +123,Item {0} has already been returned,ንጥል {0} አስቀድሞ ተመለሱ ተደርጓል
DocType: Guardian,Guardian Name,አሳዳጊ ስም
