apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +435, (Half Day),
apps/erpnext/erpnext/accounts/page/pos/pos.js +72, is mandatory. Maybe Currency Exchange record is not created for ,
apps/erpnext/erpnext/controllers/accounts_controller.py +286, or ,
apps/erpnext/erpnext/accounts/page/pos/pos.js +73, to ,
apps/erpnext/erpnext/stock/doctype/item/item.py +467,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item"
DocType: Sales Order,%  Delivered,%  Delivered
DocType: Timesheet,% Amount Billed,% Amount Billed
DocType: Purchase Order,% Billed,% Billed
DocType: Project,% Complete Method,% Complete Method
DocType: Project,% Completed,% Completed
DocType: Delivery Note,% Installed,% Installed
DocType: Material Request,% Ordered,% Ordered
DocType: Task,% Progress,% Progress
DocType: Purchase Order,% Received,% Received
DocType: Sales Order,% of materials billed against this Sales Order,% of materials billed against this Sales Order
DocType: Delivery Note,% of materials delivered against this Delivery Note,% of materials delivered against this Delivery Note
DocType: Sales Order,% of materials delivered against this Sales Order,% of materials delivered against this Sales Order
apps/erpnext/erpnext/projects/doctype/task/task.py +40,'Actual Start Date' can not be greater than 'Actual End Date','Actual Start Date' can not be greater than 'Actual End Date'
apps/erpnext/erpnext/controllers/trends.py +39,'Based On' and 'Group By' can not be same,'Based On' and 'Group By' can not be same
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py +16,'Days Since Last Order' must be greater than or equal to zero,'Days Since Last Order' must be greater than or equal to zero
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +437,'Entries' cannot be empty,'Entries' cannot be empty
apps/erpnext/erpnext/projects/doctype/task/task.py +37,'Expected Start Date' can not be greater than 'Expected End Date','Expected Start Date' can not be greater than 'Expected End Date'
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py +43,'From Date' is required,'From Date' is required
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py +18,'From Date' must be after 'To Date','From Date' must be after 'To Date'
apps/erpnext/erpnext/stock/doctype/item/item.py +408,'Has Serial No' can not be 'Yes' for non-stock item,'Has Serial No' can not be 'Yes' for non-stock item
